stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
Ujung Rute 08A/23 Pangkalan Ojek,,Ujung Rute 08A/23 Pangkalan Ojek,,-6.568650000,106.806780000,,,,,,2
Pasar Mawar,,Pasar Mawar,,-6.589470000,106.787820000,,,,,,2
Jl. Mayor Oking,,Jl. Mayor Oking,,-6.590750000,106.790640000,,,,,,2
Indomaret Cimanggu Perikanan,,Indomaret Cimanggu Perikanan,,-6.569830000,106.786130000,,,,,,2
Jl. Kb. Pedas I,,Jl. Kb. Pedas I,,-6.569450000,106.799000000,,,,,,2
Kantor Dinas Pendidikan,,Kantor Dinas Pendidikan,,-6.567180000,106.800630000,,,,,,2
Jl. Let. Tata inata,,Jl. Let. Tata inata,,-6.564640000,106.802010000,,,,,,2
Jl. Raya Soleh Iskander,,Jl. Raya Soleh Iskander,,-6.562180900,106.800865200,,,,,,2
UT Bogor,, UT Bogor,,-6.562500000,106.796040000,,,,,,2
RS Islam,,RS Islam,,-6.561040000,106.791300000,,,,,,2
Jl. Cimanggu ates,,Jl. Cimanggu ates,,-6.559950000,106.787530000,,,,,,2
Ibnu Khaldun Universitas,,Ibnu Khaldun Universitas,,-6.559080000,106.784980000,,,,,,2
Bukit Cimanggu,, Bukit Cimanggu,,-6.557760000,106.782540000,,,,,,2
Auto 2000,,Auto 2000,,-6.555930000,106.778570000,,,,,,2
RSIA. Bunda Suryatni,,RSIA. Bunda Suryatni,,-6.552440000,106.775670000,,,,,,2
Jl. Gg. alet Kukupu,,Jl. Gg. alet Kukupu,,-6.548890000,106.774710000,,,,,,2
Jl. ika Kencana,,Jl. ika Kencana,,-6.545920000,106.773790000,,,,,,2
Jl. Kampoeng Kajoemanis,,Jl. Kampoeng Kajoemanis,,-6.542330000,106.772260000,,,,,,2
Rumah Makan Nia,,Rumah Makan Nia,,-6.530650000,106.766510000,,,,,,2
Islamic Center Ummul Quro,,Islamic Center Ummul Quro,,-6.526540000,106.764250000,,,,,,2
Bank Mandiri Salabenda,, Bank Mandiri Salabenda,,-6.524010000,106.762050000,,,,,,2
Salabenda,,Salabenda,,-6.523680000,106.761910000,,,,,,2
SMK Kesehatan DPH Bogor,, SMK Kesehatan DPH Bogor,,-6.533870000,106.767830000,,,,,,2
Jl. KH Sholeh Iskandar,, Jl. KH Sholeh Iskandar,,-6.537080000,106.769900000,,,,,,2
SDN Kukupu 1,,SDN Kukupu 1,,-6.535750000,106.774650000,,,,,,2
Jl. Kampung Kencana,,Jl. Kampung Kencana,,-6.534380000,106.782940000,,,,,,2
Jl. K.H. Muhidin,, Jl. K.H. Muhidin,,-6.534070000,106.786840000,,,,,,2
Kantor Kelurahan Kencana,, Kantor Kelurahan Kencana,,-6.530745800,106.786959200,,,,,,2
Honda Mandiri Bogor,, Honda Mandiri Bogor,,-6.602560000,106.810990000,,,,,,2
Politeknik Kent,, Politeknik Kent,,-6.601530000,106.812230000,,,,,,2
KPP IPB Baranangsiang 4,,KPP IPB Baranangsiang 4,,-6.596560000,106.817800000,,,,,,2
IPB 4-Ayam Gepuk,,IPB 4-Ayam Gepuk,,-6.592350000,106.817060000,,,,,,2
Bamboo Dimsum Pandu,, Bamboo Dimsum Pandu,,-6.587350000,106.816380000,,,,,,2
Padepokan Prana Suci,,Padepokan Prana Suci,,-6.589440000,106.818430000,,,,,,2
Tanah Baru Padjajaran,, Tanah Baru Padjajaran,,-6.580090000,106.822480000,,,,,,2
Kantor Pos Tanah Baru,,Kantor Pos Tanah Baru,,-6.577940000,106.822680000,,,,,,2
Nusa Indah Residence,,Nusa Indah Residence,,-6.573700000,106.822600000,,,,,,2
Jl. Pangeran Assogiri,,Jl. Pangeran Assogiri,,-6.572160000,106.822130000,,,,,,2
Politeknik Aka Bogor,,Politeknik Aka Bogor,,-6.565600000,106.822170000,,,,,,2
Perumahan Taman Kenari,, Perumahan Taman Kenari,,-6.563340000,106.822420000,,,,,,2
Perumahan Tanah Baru Blok A,, Perumahan Tanah Baru Blok A,,-6.561550000,106.822600000,,,,,,2
Gedung PGRI Bogor,, Gedung PGRI Bogor,,-6.558420000,106.823100000,,,,,,2
Hollyood Square,,Hollyood Square,,-6.555040000,106.823990000,,,,,,2
SMKN 2 Bogor,,SMKN 2 Bogor,,-6.552630000,106.824810000,,,,,,2
Indomaret Pangeran Assogiri,,Indomaret Pangeran Assogiri,,-6.550100000,106.824580000,,,,,,2
Mulyaharja,,Mulyaharja,,-6.646880000,106.780330000,,,,,,2
Gg. Kabayan,,Gg. Kabayan,,-6.645160000,106.782600000,,,,,,2
arung Pagi Sore,,arung Pagi Sore,,-6.642440000,106.783940000,,,,,,2
